municipalidad;codigo_portal;anio;fecha_acta;descripcion;url_descarga;ruta_archivo;fuente_portal
Algarrobo;MU001;2025;2025-12-17;2025 Diciembre Actas Concejo Municipal Acta Sesión Ordinaria 36 17/12/2025 17/12/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°36 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQAn0ynacaI2Q4NfoKUrOPLMAWcIUa9cnP2_R6ljJEJMogs?e=mIv7sl&download=1;D:\trabajo max\algarrobo\2025\2025-12-17.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-12-10;2025 Diciembre Actas Concejo Municipal Acta Sesión Ordinaria 35 10/12/2025 10/12/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°35 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQDpSZeJMgUhQKNG1QHYJJsXAUGEzOHyZnoDVUhMT9ag2MQ?e=MhFbC4&download=1;D:\trabajo max\algarrobo\2025\2025-12-10.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-12-03;2025 Diciembre Actas Concejo Municipal Acta Sesión Ordinaria 34 03/12/2025 03/12/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°34 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQBZ7XTq8GD_T4cfrVMafv3BAc3Y0C41McMiGFcddbgVmWM?e=WFTdR2&download=1;D:\trabajo max\algarrobo\2025\2025-12-03.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-11-19;2025 Noviembre Actas Concejo Municipal Acta Sesión Ordinaria 33 19/11/2025 19/11/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°33 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQCml5Du9LKQTIaX-z7OMnZ0Abxw7JAhiF0hcojEf73r_mI?e=YTmbMM&download=1;D:\trabajo max\algarrobo\2025\2025-11-19.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-11-13;2025 Noviembre Actas Concejo Municipal Acta Sesión Ordinaria 32 13/11/2025 13/11/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°32 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQAH0x0U4ymOQbRqEE7o8RFnATeuGLCWWP4qnfLkR08-J1c?e=s8MMeM&download=1;D:\trabajo max\algarrobo\2025\2025-11-13.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-11-05;2025 Noviembre Actas Concejo Municipal Acta Sesión Ordinaria 31 05/11/2025 05/11/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°31 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQBd7u23TIifSbwQFSRMhufeAW8kddjcMlBZQikCHvOXB_0?e=38deNq&download=1;D:\trabajo max\algarrobo\2025\2025-11-05.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-10-15;2025 Octubre Actas Concejo Municipal Acta Sesión Ordinaria 30 15/10/2025 15/10/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°30 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQCfr8YaNirxRqCOcSeLi6lJAae-7L3rCIPOfA76agAp8fk?e=Yyyirh&download=1;D:\trabajo max\algarrobo\2025\2025-10-15.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-10-08;2025 Octubre Actas Concejo Municipal Acta Sesión Ordinaria 29 08/10/2025 08/10/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°29 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQCUBT1ZWsF4R60aFfvyGoqTAUGQG2KBWuMD_agI-kTQa9o?e=bPNeLX&download=1;D:\trabajo max\algarrobo\2025\2025-10-08.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-10-01;2025 Octubre Actas Concejo Municipal Acta Sesión Ordinaria 28 01/10/2025 01/10/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°28 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQDMd1O6eSEqRYtKVzp-yFSJAUiJKd8vP5RXL6TvNoJDGcs?e=laCkP4&download=1;D:\trabajo max\algarrobo\2025\2025-10-01.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
Algarrobo;MU001;2025;2025-09-17;2025 Septiembre Actas Concejo Municipal Acta Sesión Ordinaria 27 17/09/2025 17/09/2025 Portal de Transparencia No No Aplica Acta Ordinaria Sesión de Concejo Municipal N°27 Enlace;https://munialgarrobo-my.sharepoint.com/:b:/g/personal/centraltransparencia_munialgarrobo_onmicrosoft_com/IQDQNlMMVIVBSJkInNhQncZnARdFyd4AEV7Me41m-Na8eG4?e=4Lng3R&download=1;D:\trabajo max\algarrobo\2025\2025-09-17.pdf;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU001
