municipalidad;codigo_portal
El Tabo;MU086
Empedrado;MU087
Ercilla;MU088
Estación Central;MU089
Florida;MU090
Freire;MU091
Freirina;MU092
Fresia;MU093
Frutillar;MU094
Futaleufú;MU095
Futrono;MU096
Galvarino;MU097
General Lagos;MU098
Gorbea;MU099
Graneros;MU100
Guaitecas;MU101
Hijuelas;MU102
Hualaihué;MU103
Hualañé;MU104
Hualpén;MU105
Hualqui;MU106
Huara;MU107
Huasco;MU108
Huechuraba;MU109
Illapel;MU110
Independencia;MU111
Iquique;MU112
Isla de Maipo;MU113
Isla de Pascua;MU114
Juan Fernández;MU115
La Calera;MU116
La Cisterna;MU117
La Cruz;MU118
La Estrella;MU119
La Florida;MU120
La Granja;MU121
La Higuera;MU122
La Ligua;MU123
La Pintana;MU124
La Reina;MU125
La Serena;MU126
La Unión;MU127
Lago Ranco;MU128
Lago Verde;MU129
Laguna Blanca;MU130
Laja;MU131
Lampa;MU132
Lanco;MU133
Las Cabras;MU134
Las Condes;MU135
Lautaro;MU136
Lebu;MU137
Licantén;MU138
Limache;MU139
Linares;MU140
Litueche;MU141
Llaillay;MU142
Llanquihue;MU143
Lo Barnechea;MU144
Lo Espejo;MU145
Lo Prado;MU146
Lolol;MU147
Loncoche;MU148
Longaví;MU149
Lonquimay;MU150
Los Álamos;MU151
Los Andes;MU152
Los Ángeles;MU153
Los Lagos;MU154
Los Muermos;MU155
Los Sauces;MU156
Los Vilos;MU157
Lota;MU158
Lumaco;MU159
Machalí;MU160
Macul;MU161
Máfil;MU162
Maipú;MU163
Malloa;MU164
Marchihue;MU165
María Elena;MU166
María Pinto;MU167
Mariquina;MU168
Maule;MU169
Maullín;MU170
Mejillones;MU171
Melipeuco;MU172
Melipilla;MU173
Molina;MU174
Monte Patria;MU175
Mostazal;MU176
Mulchén;MU177
Nacimiento;MU178
Nancagua;MU179
Navidad;MU180
Negrete;MU181
Ninhue;MU182
Nogales;MU183
Nueva Imperial;MU184
Ñiquén;MU185
Ñuñoa;MU186
O'Higgins;MU187
Olivar;MU188
Ollagüe;MU189
Olmué;MU190
Osorno;MU191
Ovalle;MU192
Padre Hurtado;MU193
Padre Las Casas;MU194
Paihuano;MU195
Paillaco;MU196
Paine;MU197
Palena;MU198
Palmilla;MU199
Panguipulli;MU200
Panquehue;MU201
Papudo;MU202
Paredones;MU203
Parral;MU204
Pedro Aguirre Cerda;MU205
Pelarco;MU206
Pelluhue;MU207
Pemuco;MU208
Pencahue;MU209
Penco;MU210
Peñaflor;MU211
Peñalolén;MU212
Peralillo;MU213
Perquenco;MU214
Petorca;MU215
Peumo;MU216
Pica;MU217
Pichidegua;MU218
Pichilemu;MU219
Pinto;MU220
Pirque;MU221
Pitrufquén;MU222
Placilla;MU223
Portezuelo;MU224
Porvenir;MU225
Pozo Almonte;MU226
Primavera;MU227
Providencia;MU228
Puchuncaví;MU229
Pucón;MU230
Pudahuel;MU231
Puente Alto;MU232
Puerto Montt;MU233
Puerto Natales;MU234
Puerto Octay;MU235
Puerto Varas;MU236
Pumanque;MU237
Punitaqui;MU238
Punta Arenas;MU239
Puqueldón;MU240
Purén;MU241
Purranque;MU242
Putaendo;MU243
Putre;MU244
Puyehue;MU245
Queilén;MU246
Quellón;MU247
Quemchi;MU248
Quilaco;MU249
Quilicura;MU250
Quilleco;MU251
Quillón;MU252
Quillota;MU253
Quilpué;MU254
Quinchao;MU255
Quinta de Tilcoco;MU256
Quinta Normal;MU257
Quintero;MU258
Quirihue;MU259
Rancagua;MU260
Ránquil;MU261
Rauco;MU262
Recoleta;MU263
Renaico;MU264
Renca;MU265
Rengo;MU266
Requínoa;MU267
Retiro;MU268
Rinconada;MU269
Río Bueno;MU270
Río Claro;MU271
Río Hurtado;MU272
Río Ibáñez;MU273
Río Negro;MU274
Río Verde;MU275
Romeral;MU276
Saavedra;MU277
Sagrada Familia;MU278
Salamanca;MU279
San Antonio;MU280
San Bernardo;MU281
San Carlos;MU282
San Clemente;MU283
San Esteban;MU284
San Fabián;MU285
San Felipe;MU286
San Fernando;MU287
San Gregorio;MU288
San Ignacio;MU289
San Javier;MU290
San Joaquín;MU291
San José de Maipo;MU292
San Juan de la Costa;MU293
San Miguel;MU294
San Nicolás;MU295
San Pablo;MU296
San Pedro;MU297
San Pedro de Atacama;MU298
San Pedro De La Paz;MU299
San Rafael;MU300
San Ramón;MU301
San Rosendo;MU302
San Vicente;MU303
Santa Bárbara;MU304
Santa Cruz;MU305
Santa Juana;MU306
Santa María;MU307
Santiago;MU308
Santo Domingo;MU309
Sierra Gorda;MU310
Talagante;MU311
Talca;MU312
Talcahuano;MU313
Taltal;MU314
Temuco;MU315
Teno;MU316
Teodoro Schmidt;MU317
Tierra Amarilla;MU318
Tiltil;MU319
Timaukel;MU320
Tirúa;MU321
Tocopilla;MU322
Toltén;MU323
Tomé;MU324
Torres del Paine;MU325
Tortel;MU326
Traiguén;MU327
Trehuaco;MU328
Tucapel;MU329
Valdivia;MU330
Vallenar;MU331
Valparaíso;MU332
Vichuquén;MU333
Victoria;MU334
Vicuña;MU335
Vilcún;MU336
Villa Alegre;MU337
Villa Alemana;MU338
Villarrica;MU339
Viña del Mar;MU340
Vitacura;MU341
Yerbas Buenas;MU342
Yumbel;MU343
Yungay;MU344
Zapallar;MU345
