municipalidad;codigo_portal;municipalidad_id;region
Algarrobo;MU001;5602;Valparaíso
Alhué;MU002;13502;Metropolitana
Alto Biobío;MU003;8314;Bíobío
Alto del Carmen;MU004;3302;Atacama
Alto Hospicio;MU005;1107;Tarapacá
Ancud;MU006;10202;Los Lagos
Andacollo;MU007;4103;Coquimbo
Angol;MU008;9201;Araucanía
Antofagasta;MU009;2101;Antofagasta
Antuco;MU010;8302;Bíobío
Arauco;MU011;8202;Bíobío
Arica;MU012;15101;Arica y Parinacota
Aysén;MU013;11201;Aisén
Buin;MU014;13402;Metropolitana
Bulnes;MU015;16102;Ñuble
Cabildo;MU016;5402;Valparaíso
Cabo de Hornos y Antártica;MU017;12201;Magallanes
Cabrero;MU018;8303;Bíobío
Calama;MU019;2201;Antofagasta
Calbuco;MU020;10102;Los Lagos
Caldera;MU021;3102;Atacama
Calera de Tango;MU022;13403;Metropolitana
Calle Larga;MU023;5302;Valparaíso
Camarones;MU024;15102;Arica y Parinacota
Camiña;MU025;1402;Tarapacá
Canela;MU026;4202;Coquimbo
Cañete;MU027;8203;Bíobío
Carahue;MU028;9102;Araucanía
Cartagena;MU029;5603;Valparaíso
Casablanca;MU030;5102;Valparaíso
Castro;MU031;10201;Los Lagos
Catemu;MU032;5702;Valparaíso
Cauquenes;MU033;7201;Maule
Cerrillos;MU034;13102;Metropolitana
Cerro Navia;MU035;13103;Metropolitana
Chaitén;MU036;10401;Los Lagos
Chanco;MU037;7202;Maule
Chañaral;MU038;3201;Atacama
Chépica;MU039;6302;O'Higgins
Chiguayante;MU040;8103;Bíobío
Chile Chico;MU041;11401;Aisén
Chillán;MU042;16101;Ñuble
Chillán Viejo;MU043;16103;Ñuble
Chimbarongo;MU044;6303;O'Higgins
Cholchol;MU045;9121;Araucanía
Chonchi;MU046;10203;Los Lagos
Cisnes;MU047;11202;Aisén
Cobquecura;MU048;16202;Ñuble
Cochamó;MU049;10103;Los Lagos
Cochrane;MU050;11301;Aisén
Codegua;MU051;6102;O'Higgins
Coelemu;MU052;16203;Ñuble
Coihueco;MU053;16302;Ñuble
Coinco;MU054;6103;O'Higgins
Colbún;MU055;7402;Maule
Colchane;MU056;1403;Tarapacá
Colina;MU057;13301;Metropolitana
Collipulli;MU058;9202;Araucanía
Coltauco;MU059;6104;O'Higgins
Combarbalá;MU060;4302;Coquimbo
Concepción;MU061;8101;Bíobío
Conchalí;MU062;13104;Metropolitana
Concón;MU063;5103;Valparaíso
Constitución;MU064;7102;Maule
Contulmo;MU065;8204;Bíobío
Copiapó;MU066;3101;Atacama
Coquimbo;MU067;4102;Coquimbo
Coronel;MU068;8102;Bíobío
Corral;MU069;14102;Los Ríos
Coyhaique;MU070;11101;Aisén
Cunco;MU071;9103;Araucanía
Curacautín;MU072;9203;Araucanía
Curacaví;MU073;13503;Metropolitana
Curaco de Vélez;MU074;10204;Los Lagos
Curanilahue;MU075;8205;Bíobío
Curarrehue;MU076;9104;Araucanía
Curepto;MU077;7103;Maule
Curicó;MU078;7301;Maule
Dalcahue;MU079;10205;Los Lagos
Diego De Almagro;MU080;3202;Atacama
Doñihue;MU081;6105;O'Higgins
El Bosque;MU082;13105;Metropolitana
El Carmen;MU083;16104;Ñuble
El Monte;MU084;13602;Metropolitana
El Quisco;MU085;5604;Valparaíso
El Tabo;MU086;5605;Valparaíso
Empedrado;MU087;7104;Maule
Ercilla;MU088;9204;Araucanía
Estación Central;MU089;13106;Metropolitana
Florida;MU090;8104;Bíobío
Freire;MU091;9105;Araucanía
Freirina;MU092;3303;Atacama
Fresia;MU093;10104;Los Lagos
Frutillar;MU094;10105;Los Lagos
Futaleufú;MU095;10402;Los Lagos
Futrono;MU096;14202;Los Ríos
Galvarino;MU097;9106;Araucanía
General Lagos;MU098;15202;Arica y Parinacota
Gorbea;MU099;9107;Araucanía
Graneros;MU100;6106;O'Higgins
Guaitecas;MU101;11203;Aisén
Hijuelas;MU102;5503;Valparaíso
Hualaihué;MU103;10403;Los Lagos
Hualañé;MU104;7302;Maule
Hualpén;MU105;8112;Bíobío
Hualqui;MU106;8105;Bíobío
Huara;MU107;1404;Tarapacá
Huasco;MU108;3304;Atacama
Huechuraba;MU109;13107;Metropolitana
Illapel;MU110;4201;Coquimbo
Independencia;MU111;13108;Metropolitana
Iquique;MU112;1101;Tarapacá
Isla de Maipo;MU113;13603;Metropolitana
Isla de Pascua;MU114;5201;Valparaíso
Juan Fernández;MU115;5104;Valparaíso
La Calera;MU116;5502;Valparaíso
La Cisterna;MU117;13109;Metropolitana
La Cruz;MU118;5504;Valparaíso
La Estrella;MU119;6202;O'Higgins
La Florida;MU120;13110;Metropolitana
La Granja;MU121;13111;Metropolitana
La Higuera;MU122;4104;Coquimbo
La Ligua;MU123;5401;Valparaíso
La Pintana;MU124;13112;Metropolitana
La Reina;MU125;13113;Metropolitana
La Serena;MU126;4101;Coquimbo
La Unión;MU127;14201;Los Ríos
